Date,Open,High,Low,Close,Adj Close,Volume
2017-10-20,16250.000000,16350.000000,16150.000000,16300.000000,13384.686523,192383
2017-10-23,16350.000000,16350.000000,15950.000000,15950.000000,13097.284180,190569
2017-10-24,15950.000000,16250.000000,15950.000000,16200.000000,13302.572266,86110
2017-10-25,16250.000000,16400.000000,16050.000000,16350.000000,13425.743164,68304
2017-10-26,16300.000000,16450.000000,16200.000000,16400.000000,13466.800781,48089
2017-10-27,16500.000000,16500.000000,16150.000000,16400.000000,13466.800781,43235
2017-10-30,16400.000000,16550.000000,16300.000000,16550.000000,13589.971680,43056
2017-10-31,16500.000000,16600.000000,16400.000000,16450.000000,13507.858398,37163
2017-11-01,16450.000000,16500.000000,16150.000000,16500.000000,13548.916016,102947
2017-11-02,16400.000000,16500.000000,16100.000000,16200.000000,13302.572266,59902
2017-11-03,16050.000000,16200.000000,15800.000000,16100.000000,13220.457031,114340
2017-11-06,16000.000000,16100.000000,15800.000000,15950.000000,13097.284180,89367
2017-11-07,15850.000000,16000.000000,15700.000000,15950.000000,13097.284180,103769
2017-11-08,16000.000000,16150.000000,15900.000000,15950.000000,13097.284180,102379
2017-11-09,15950.000000,16200.000000,15950.000000,16200.000000,13302.572266,32343
2017-11-10,16150.000000,16250.000000,16000.000000,16100.000000,13220.457031,51529
2017-11-13,16200.000000,16200.000000,15850.000000,15950.000000,13097.284180,95336
2017-11-14,16000.000000,16050.000000,15700.000000,15750.000000,12933.055664,112751
2017-11-15,15750.000000,16000.000000,15150.000000,15350.000000,12604.597656,262646
2017-11-16,15400.000000,15400.000000,14950.000000,15000.000000,12317.196289,192512
2017-11-17,15050.000000,15250.000000,14850.000000,15000.000000,12317.196289,145266
2017-11-20,15000.000000,15100.000000,14900.000000,15050.000000,12358.252930,108838
2017-11-21,15050.000000,15100.000000,14850.000000,14950.000000,12276.137695,117969
2017-11-22,14950.000000,15000.000000,14500.000000,14600.000000,11988.737305,172228
2017-11-23,14600.000000,14900.000000,14550.000000,14900.000000,12235.081055,178533
2017-11-24,14900.000000,15050.000000,14750.000000,14950.000000,12276.137695,60523
2017-11-27,15000.000000,15150.000000,14800.000000,14950.000000,12276.137695,73825
2017-11-28,14950.000000,15150.000000,14800.000000,14900.000000,12235.081055,80828
2017-11-29,14900.000000,15000.000000,14650.000000,14800.000000,12152.966797,100473
2017-11-30,14850.000000,14850.000000,14600.000000,14800.000000,12152.966797,89440
2017-12-01,14900.000000,14900.000000,14550.000000,14700.000000,12070.852539,116233
2017-12-04,14750.000000,14900.000000,14700.000000,14850.000000,12194.023438,56016
2017-12-05,14900.000000,15100.000000,14800.000000,14900.000000,12235.081055,185301
2017-12-06,15000.000000,15050.000000,14800.000000,14900.000000,12235.081055,107703
2017-12-07,14900.000000,14950.000000,14700.000000,14800.000000,12152.966797,65280
2017-12-08,14800.000000,14800.000000,14300.000000,14450.000000,11865.565430,101233
2017-12-11,14450.000000,14550.000000,14400.000000,14500.000000,11906.622070,37903
2017-12-12,14500.000000,14550.000000,14200.000000,14500.000000,11906.622070,69014
2017-12-13,14500.000000,14550.000000,14100.000000,14400.000000,11824.508789,118772
2017-12-14,14350.000000,14350.000000,13950.000000,14000.000000,11496.048828,220401
2017-12-15,14000.000000,14200.000000,13950.000000,14200.000000,11660.278320,120142
2017-12-18,14250.000000,14250.000000,13900.000000,14000.000000,11496.048828,102529
2017-12-19,14100.000000,14100.000000,13600.000000,14000.000000,11496.048828,147555
2017-12-21,14000.000000,14050.000000,13900.000000,13900.000000,11413.933594,57863
2017-12-22,13900.000000,14300.000000,13900.000000,14250.000000,11701.334961,84022
2017-12-26,14350.000000,14400.000000,14200.000000,14300.000000,11742.393555,87757
2017-12-27,14150.000000,14150.000000,13700.000000,13950.000000,11784.631836,87859
2017-12-28,13950.000000,14000.000000,13850.000000,14000.000000,11826.871094,55010
2018-01-02,14150.000000,14150.000000,13800.000000,13900.000000,11742.392578,70453
2018-01-03,13850.000000,13950.000000,13750.000000,13900.000000,11742.392578,61736
2018-01-04,13850.000000,14050.000000,13850.000000,13950.000000,11784.631836,90861
2018-01-05,13950.000000,13950.000000,13850.000000,13850.000000,11700.155273,56769
2018-01-08,13850.000000,14150.000000,13750.000000,13950.000000,11784.631836,146109
2018-01-09,13950.000000,14300.000000,13900.000000,14100.000000,11911.349609,112267
2018-01-10,14200.000000,14250.000000,13950.000000,14150.000000,11953.586914,138273
2018-01-11,14200.000000,14200.000000,13900.000000,14000.000000,11826.871094,90743
2018-01-12,14000.000000,14000.000000,13800.000000,13850.000000,11700.155273,72626
2018-01-15,13850.000000,13900.000000,13700.000000,13800.000000,11657.916016,76094
2018-01-16,13850.000000,13900.000000,13700.000000,13800.000000,11657.916016,63435
2018-01-17,13850.000000,13850.000000,13450.000000,13600.000000,11488.960938,139387
2018-01-18,13650.000000,13700.000000,13450.000000,13550.000000,11446.721680,112692
2018-01-19,13600.000000,13750.000000,13450.000000,13750.000000,11615.676758,75203
